Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Neighborhoods (old),Zip Codes,Fire Prevention Districts,Police Districts,Supervisor Districts,,FixedLocations
Marin Day School - San Francisco City Hall,Private,-2,-1,PK,Independent / Private,CDC091,3,4,CDC,384001292,"1 DR CARLTON B GOODLETT PL, RM 68, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.779324, -122.418816)",36,"28,852",7,9,9,,"CA (37.779324, -122.418816)"
"Mccoppin, Frank Mccoppin Elementary / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS074,5,10,PS,3.87E+13,"651 06TH AVE, San Francisco, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.77631, -122.464477)",11,54,11,6,2,,"CA (37.77631, -122.464477)"
Gateway High School / Kipp Sf Bay Academy,SFUSD,9,12,12-Sep,USD Charter School,PS037,14,17,PS,3.87E+13,"1430 SCOTT ST, San Francisco, CA 94115",5,6075,SAN FRANCISCO,"CA
(37.783264, -122.436691)",41,"29,490",13,5,11,,"CA (37.783264, -122.436691)"
Galileo High School,SFUSD,9,12,12-Sep,USD Grades 9-12,PS035,14,17,PS,3.87E+13,"1150 FRANCISCO ST, San Francisco, CA 94109",2,6075,SAN FRANCISCO,"CA
(37.803791, -122.424149)",32,"28,858",5,9,1,,"CA (37.803791, -122.424149)"
Kangaroos Preschool,Private,-2,0,PK-K,Independent / Private,IND254,3,5,IND,384002312,"298 MONTEREY BLVD, SAN FRANCISCO, CA 94131",7,6075,SAN FRANCISCO,"CA
(37.731812, -122.441833)",40,63,9,7,4,,"CA (37.731812, -122.441833)"
Glide Family Youth And Childcare Center,Private,-2,-1,PK,Independent / Private,CDC045,3,4,CDC,384000531,"330 ELLIS ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.78529, -122.411697)",36,"28,852",14,10,9,,"CA (37.78529, -122.411697)"
Jefferson Early Education School,SFUSD,-2,-1,PK,USD PreK,CDC055,3,4,CDC,380504419,"1350 25TH AVE, San Francisco, CA 94122",4,6075,SAN FRANCISCO,"CA
(37.76236, -122.483162)",35,56,1,8,3,,"CA (37.76236, -122.483162)"
Noe Valley Nursery School,Private,-2,-1,PK,Independent / Private,CDC115,3,4,CDC,384002096,"5210 DIAMOND HEIGHTS BLVD, SAN FRANCISCO, CA 94131",8,6075,SAN FRANCISCO,"CA
(37.743469, -122.440552)",7,63,2,7,5,,"CA (37.743469, -122.440552)"
Ucsf - University Child Care Center - Laurel Heights,Private,-2,-1,PK,Independent / Private,CDC151,3,4,CDC,384001301,"3333 CALIFORNIA ST STE 220, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.786099, -122.448387)",31,54,15,6,1,,"CA (37.786099, -122.448387)"
Montessori Childrens House Of The West Coast,Private,-2,-1,PK,Independent / Private,CDC108,3,4,CDC,380503970,"25 LAKE ST, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.786671, -122.459686)",11,54,11,6,1,,"CA (37.786671, -122.459686)"
Five Keys Charter,SFUSD,8,12,12-Aug,USD Charter School,PS032,13,17,PS,3.87E+13,"70 OAK GROVE ST, San Francisco, CA 94107",6,6075,SAN FRANCISCO,"CA
(37.777107, -122.402229)",34,"28,856",14,2,9,,"CA (37.777107, -122.402229)"
Little Sunshine Childcare,Private,-2,-1,PK,Independent / Private,CDC081,3,4,CDC,,"308 JULES AVE, SAN FRANCISCO, CA 94112",7,6075,SAN FRANCISCO,"CA
(37.7239, -122.46096)",24,"28,861",9,8,4,,"CA (37.7239, -122.46096)"
Saint Pauls Littlest Angel Preparatory,Private,-2,0,PK-K,Independent / Private,IND302,3,5,IND,380506430,"221 VALLEY ST STE X, SAN FRANCISCO, CA 94131",8,6075,SAN FRANCISCO,"CA
(37.74419, -122.427742)",22,63,2,7,5,,"CA (37.74419, -122.427742)"
City College of San Francisco Mission Center,SFCCD,13,14,13-14,Community College District,CC08,18,19,CC,,"1125 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.754791, -122.420616)",19,"28,859",2,4,7,,"CA (37.754791, -122.420616)"
Economic Opportunity Council Sf - Oscaryne Williams Center Of Hope,Private,-2,-1,PK,Independent / Private,CDC031,3,4,CDC,380506485,"65 TURNER TER, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.755798, -122.394974)",29,"28,856",10,3,8,,"CA (37.755798, -122.394974)"
Alt School - Fort Mason,Private,0,8,K-8,Independent / Private,IND204,5,13,IND,3.87E+13,"3741 BUCHANAN ST, SAN FRANCISCO, CA 94123",2,6075,SAN FRANCISCO,"CA
(37.804562, -122.433907)",17,57,13,9,1,,"CA (37.804562, -122.433907)"
"Sloat, Commodore Sloat Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS107,5,10,PS,3.87E+13,"50 DARIEN WAY, SAN FRANCISCO, CA 94127",7,6075,SAN FRANCISCO,"CA
(37.731258, -122.470482)",40,59,9,8,4,,"CA (37.731258, -122.470482)"
Ark Christian Preschool,Private,-2,-1,PK,Independent / Private,CDC006,3,4,CDC,380504714,"3141 VICENTE ST, SAN FRANCISCO, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.73803, -122.500786)",35,"29,491",1,8,3,,"CA (37.73803, -122.500786)"
Economic Opportunity Council Sf - Rainbow Preschool,Private,-2,-1,PK,Independent / Private,CDC032,3,4,CDC,380505485,"795 PACIFIC AVE, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.796528, -122.407638)",4,308,3,1,10,,"CA (37.796528, -122.407638)"
Laguna Golden Gate Child Care Center,SFUSD,-2,-1,PK,USD PreK,CDC070,3,4,CDC,,"1025 LAGUNA ST, SAN FRANCISCO CA 94115",5,6075,SAN FRANCISCO,"CA
(37.780636, -122.42733)",41,"29,490",7,9,11,,"CA (37.780636, -122.42733)"
Playmates Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC123,3,4,CDC,380504052,"2342 42ND AVE, SAN FRANCISCO, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.743015, -122.500076)",35,"29,491",1,8,3,,"CA (37.743015, -122.500076)"
Miraloma Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC096,3,4,CDC,380505313,"443 FOERSTER ST, SAN FRANCISCO, CA 94127",7,6075,SAN FRANCISCO,"CA
(37.732193, -122.449142)",40,59,9,7,4,,"CA (37.732193, -122.449142)"
Jewish Community Center San Francisco - Helen Diller Family Preschool,Private,-2,-1,PK,Independent / Private,CDC057,3,4,CDC,384001263,"3200 CALIFORNIA ST, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.787365, -122.44722)",31,54,13,6,1,,"CA (37.787365, -122.44722)"
Saint Stephen School,Private,0,8,K-8,Independent / Private,IND306,5,13,IND,3.87E+13,"473 EUCALYPTUS DR, SAN FRANCISCO, CA 94132",7,6075,SAN FRANCISCO,"CA
(37.730911, -122.477684)",14,64,1,8,4,,"CA (37.730911, -122.477684)"
Peters Place Nursery School,Private,-2,-1,PK,Independent / Private,CDC121,3,4,CDC,384000741,"227 BALBOA ST, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.777092, -122.461357)",11,54,11,6,2,,"CA (37.777092, -122.461357)"
Wu Yee Child Development Center - Chinatown Little Sprouts,Private,-2,-1,PK,Independent / Private,CDC158,3,4,CDC,384000804,"831 BROADWAY ST, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.797012, -122.410713)",4,308,3,1,10,,"CA (37.797012, -122.410713)"
"Milk, Harvey Milk Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS077,5,10,PS,3.87E+13,"4235 19TH ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.758926, -122.436447)",3,"28,862",2,4,5,,"CA (37.758926, -122.436447)"
Balboa High School,SFUSD,9,12,12-Sep,USD Grades 9-12,PS007,14,17,PS,3.87E+13,"1000 CAYUGA AVE, San Francisco, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.721142, -122.441399)",25,"28,861",9,7,6,,"CA (37.721142, -122.441399)"
Urban School Of San Francisco,Private,9,12,12-Sep,Independent / Private,IND333,14,17,IND,3.87E+13,"1563 PAGE ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.770832, -122.44635)",9,"29,492",15,5,11,,"CA (37.770832, -122.44635)"
Mission Neighborhood Centers - Stevenson,Private,-2,-1,PK,Independent / Private,CDC105,3,4,CDC,384000731,"1320 STEVENSON ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.771469, -122.421883)",19,"28,853",8,2,9,,"CA (37.771469, -122.421883)"
"Serra, Junipero Serra Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS104,5,10,PS,3.87E+13,"625 HOLLY PARK CIR, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.736912, -122.421486)",2,"28,859",2,7,7,,"CA (37.736912, -122.421486)"
Kids By The Bay Preschool,Private,-3,0,PK-K,Independent / Private,IND257,2,5,IND,384001720,"90 7TH ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.779549, -122.412102)",34,"28,853",8,2,9,,"CA (37.779549, -122.412102)"
Kinderhaus - German International Preschool,Private,-2,-1,PK,Independent / Private,CDC068,3,4,CDC,384002638,"198 WATERVILLE ST, SAN FRANCISCO, CA 94124",10,6075,SAN FRANCISCO,"CA
(37.732529, -122.402496)",1,58,10,3,8,,"CA (37.732529, -122.402496)"
Brandeis Hillel School Of San Francisco,Private,0,8,K-8,Independent / Private,IND216,5,13,IND,3.87E+13,"655 BROTHERHOOD WAY, SAN FRANCISCO, CA 94132",7,6075,SAN FRANCISCO,"CA
(37.713421, -122.475639)",14,64,1,8,4,,"CA (37.713421, -122.475639)"
La Scuola International School,Private,0,8,K-8,Independent / Private,IND260,5,13,IND,3.87E+13,"735 FELL ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.774921, -122.430046)",10,"29,492",7,9,11,,"CA (37.774921, -122.430046)"
Claire Lilienthal Alternative School - Scott Campus,Private,3,8,8-Mar,Independent / Private,IND229,8,13,IND,384000539,"3630 DIVISADERO ST, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.803036, -122.442665)",17,57,13,9,1,,"CA (37.803036, -122.442665)"
Kai Ming Head Start - Richmond Center,Private,-2,-1,PK,Independent / Private,CDC062,3,4,CDC,384001019,"426 33RD AVE, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.781128, -122.493202)",26,55,11,6,2,,"CA (37.781128, -122.493202)"
Mission Education Center Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS079,5,10,PS,3.87E+13,"1670 NOE ST, San Francisco, CA 94131",8,6075,SAN FRANCISCO,"CA
(37.742203, -122.431435)",22,63,2,7,5,,"CA (37.742203, -122.431435)"
Angelas Children Center,Private,-2,-1,PK,Independent / Private,CDC003,3,4,CDC,380505898,"775 07TH AVE, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.773998, -122.465179)",11,54,11,6,2,,"CA (37.773998, -122.465179)"
"Peabody, George Peabody Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS090,5,10,PS,3.87E+13,"251 06TH AVE, San Francisco, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.783855, -122.465027)",11,54,11,6,2,,"CA (37.783855, -122.465027)"
Hillcrest Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS046,5,10,PS,3.87E+13,"810 SILVER AVE, San Francisco, CA 94134",9,6075,SAN FRANCISCO,"CA
(37.728413, -122.418686)",5,309,9,3,7,,"CA (37.728413, -122.418686)"
La Piccola Scuola Italiana Preschool,Private,-2,-1,PK,Independent / Private,CDC069,3,4,CDC,,"728 20TH ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.760681, -122.389198)",29,"28,856",10,3,8,,"CA (37.760681, -122.389198)"
Parkside Preschool & Kindergarten,Private,-2,0,PK-K,Independent / Private,IND281,3,5,IND,380506198,"2425 19TH AVE, SAN FRANCISCO, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.742615, -122.47625)",35,"29,491",1,8,3,,"CA (37.742615, -122.47625)"
Rooftop (5-8 Mayeda Campus),SFUSD,-2,8,PK-8,USD Grades PK-8,PS096,3,13,PS,3.87E+13,"500 CORBETT AVE, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.757397, -122.444496)",3,"28,862",2,5,5,,"CA (37.757397, -122.444496)"
Alt School - Potrero Hill,Private,-1,8,TK-8,Independent / Private,IND206,4,13,IND,,"99 MISOURI ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.765507, -122.396584)",20,"28,856",14,3,8,,"CA (37.765507, -122.396584)"
City College of San Francisco Ocean Campus,SFCCD,13,14,13-14,Community College District,CC09,18,19,CC,,"50 PHELAN AVE, SAN FRANCISCO, CA 94112",7,6075,SAN FRANCISCO,"CA
(37.725716, -122.451134)",40,"28,861",9,7,4,,"CA (37.725716, -122.451134)"
Little School,Private,-2,-1,PK,Independent / Private,CDC078,3,4,CDC,384000125,"1520 LYON ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.785137, -122.444717)",31,"29,490",15,6,1,,"CA (37.785137, -122.444717)"
Katherine Michiels School,Private,-2,5,PK-5,Independent / Private,IND256,3,10,IND,380504523,"1335 GUERRERO ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.749817, -122.42231)",19,"28,859",2,4,5,,"CA (37.749817, -122.42231)"
Cross Cultural Family Center - Mary Lane Infant And Toddler Center,Private,-2,-1,PK,Independent / Private,CDC024,3,4,CDC,384001117,"1 WEBSTER ST, SAN FRANCISCO, CA 94123",8,6075,SAN FRANCISCO,"CA
(37.769699, -122.428474)",10,"28,862",7,9,5,,"CA (37.769699, -122.428474)"
Tule Elk Park Early Education School,SFUSD,-2,5,PK-5,USD PreK/TK-5,PS116,3,10,PS,3.87E+13,"2110 GREENWICH ST, San Francisco, CA 94123",2,6075,SAN FRANCISCO,"CA
(37.799419, -122.434563)",17,57,13,9,1,,"CA (37.799419, -122.434563)"
Kittredge School,Private,0,8,K-8,Independent / Private,IND258,5,13,IND,3.87E+13,"2355 LAKE ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.785507, -122.484955)",26,55,11,6,2,,"CA (37.785507, -122.484955)"
Kellys Family Day Care,Private,-2,-1,PK,Independent / Private,CDC066,3,4,CDC,,"309 30TH ST, SAN FRANCISCO, CA 94131",8,6075,SAN FRANCISCO,"CA
(37.741787, -122.427292)",7,63,2,7,5,,"CA (37.741787, -122.427292)"
Serra Preschool,Private,-2,-1,PK,Independent / Private,CDC135,3,4,CDC,384001376,"7 FUNSTON AVE, SAN FRANCISCO, CA 94129",2,6075,SAN FRANCISCO,"CA
(37.799297, -122.456116)",30,61,11,,1,,"CA (37.799297, -122.456116)"
"Key, Francis Scott Key Elementary/Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS054,5,10,PS,3.87E+13,"1530 43RD AVE, San Francisco, CA 94122",4,6075,SAN FRANCISCO,"CA
(37.758099, -122.501999)",35,56,1,8,3,,"CA (37.758099, -122.501999)"
San Francisco Community Alternative School,SFUSD,0,8,K-8,USD Grades K-8,PS099,5,13,PS,3.87E+13,"125 EXCELSIOR AVE, San Francisco, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.726105, -122.432136)",5,"28,861",9,7,6,,"CA (37.726105, -122.432136)"
Ulloa Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS117,5,10,PS,3.87E+13,"2650 42ND AVE, San Francisco, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.737316, -122.499397)",35,"29,491",1,8,3,,"CA (37.737316, -122.499397)"
San Francisco Montessori Academy,Private,-2,-1,PK,Independent / Private,CDC133,3,4,CDC,,"1566 32ND AVE, SAN FRANCISCO, CA 94122",4,6075,SAN FRANCISCO,"CA
(37.757992, -122.490379)",35,56,1,8,3,,"CA (37.757992, -122.490379)"
Town School For Boys,Private,0,8,K-8,Independent / Private,IND332,5,13,IND,3.87E+13,"2750 JACKSON ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.792034, -122.440132)",27,"29,490",13,6,1,,"CA (37.792034, -122.440132)"
City College of San Francisco Downtown Center,SFCCD,13,14,13-14,Community College District,CC03,18,19,CC,,"88 4TH ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.784565, -122.404724)",34,"28,853",12,2,9,,"CA (37.784565, -122.404724)"
Little Tree Preschool,Private,-2,-1,PK,Independent / Private,CDC082,3,4,CDC,,"3161 MISSION ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.746403, -122.419037)",2,"28,859",2,7,7,,"CA (37.746403, -122.419037)"
Marin Day School - Fremont St,Private,-2,-1,PK,Independent / Private,CDC088,3,4,CDC,384001296,"199 FREMONT ST, SAN FRANCISCO, CA 94105",6,6075,SAN FRANCISCO,"CA
(37.789883, -122.39489)",6,"28,855",12,2,9,,"CA (37.789883, -122.39489)"
Grace Lutheran Church - Grace Infant Care Center,Private,-4,-2,INF,Independent / Private,CDC049,1,3,CDC,380504016,"3201 ULLOA ST, SAN FRANCISCO, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.740261, -122.490852)",35,"29,491",1,8,3,,"CA (37.740261, -122.490852)"
Childrens Day School,Private,-2,8,PK-8,Independent / Private,IND226,3,13,IND,3.87E+13,"333 DOLORES ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.764256, -122.425201)",19,"28,859",8,4,5,,"CA (37.764256, -122.425201)"
Lick-Wilmerding High School,Private,9,12,12-Sep,Independent / Private,IND263,14,17,IND,3.87E+13,"755 OCEAN AVE, SAN FRANCISCO, CA 94112",7,6075,SAN FRANCISCO,"CA
(37.722321, -122.448982)",24,"28,861",9,7,4,,"CA (37.722321, -122.448982)"
Epiphany Elementary School,Private,0,8,K-8,Independent / Private,IND240,5,13,IND,3.87E+13,"600 ITALY AVE, SAN FRANCISCO, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.715725, -122.434532)",5,"28,861",9,7,6,,"CA (37.715725, -122.434532)"
Lisa Kampner Hebrew Academy,Private,0,12,K-12,Independent / Private,IND264,5,17,IND,3.87E+13,"645 14TH AVE, SAN FRANCISCO, CA 94118",8,6075,SAN FRANCISCO,"CA
(37.767643, -122.42762)",3,"28,862",8,4,5,,"CA (37.767643, -122.42762)"
Montessori School Of The Bay Area,Private,-2,-1,PK,Independent / Private,CDC109,3,4,CDC,380505730,"1530 EDDY ST, SAN FRANCISCO, CA 94115",5,6075,SAN FRANCISCO,"CA
(37.78159, -122.433311)",41,"29,490",15,9,11,,"CA (37.78159, -122.433311)"
Compass Childrens Center,Private,-2,-1,PK,Independent / Private,CDC015,3,4,CDC,384000988,"144 LEAVENWORTH ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.782429, -122.413719)",36,"28,852",7,10,9,,"CA (37.782429, -122.413719)"
Cross Cultural Family Center - Turk Street Center,Private,-2,4,PK-4,Independent / Private,IND234,3,9,IND,380506340,"201 TURK ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.782799, -122.412865)",36,"28,852",7,10,9,,"CA (37.782799, -122.412865)"
"Carver, Dr. George Washington Carver Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS014,5,10,PS,3.87E+13,"1360 OAKDALE AVE, San Francisco, CA 94124",10,6075,SAN FRANCISCO,"CA
(37.731667, -122.385338)",1,58,10,3,8,,"CA (37.731667, -122.385338)"
Saint Luke School (Sls Preschool),Private,-2,-1,PK,Independent / Private,CDC131,3,4,CDC,384002543,"1335 SUTTER ST, SAN FRANCISCO, CA 94109",2,6075,SAN FRANCISCO,"CA
(37.787209, -122.42234)",41,"28,858",13,9,1,,"CA (37.787209, -122.42234)"
Buen Dia Family School,Private,-2,-1,PK,Independent / Private,CDC007,3,4,CDC,380504038,"589 GUERRERO ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.761932, -122.423454)",19,"28,859",8,4,5,,"CA (37.761932, -122.423454)"
"Preschool, The",Private,-2,-1,PK,Independent / Private,CDC124,3,4,CDC,380505138,"102 SAN JOSE AVE, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.753262, -122.421791)",19,"28,859",2,4,5,,"CA (37.753262, -122.421791)"
Garfield Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS036,5,10,PS,3.87E+13,"420 FILBERT ST, San Francisco, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.802036, -122.406692)",23,308,3,1,10,,"CA (37.802036, -122.406692)"
City College of San Francisco Evans Center,SFCCD,13,14,13-14,Community College District,CC04,18,19,CC,,"1400 EVANS AVE, SAN FRANCISCO, CA 94124",10,6075,SAN FRANCISCO,"CA
(37.741859, -122.384682)",1,58,10,3,8,,"CA (37.741859, -122.384682)"
Presidio Early Education School,SFUSD,-2,4,PK-4,USD PreK-4,PS091,3,9,PS,3.87E+13,"387 MORAGA AVE, San Francisco, CA 94129",2,6075,SAN FRANCISCO,"CA
(37.79752, -122.461105)",30,61,11,,1,,"CA (37.79752, -122.461105)"
Saint John Of San Francisco Orthodox Academy,Private,0,12,K-12,Independent / Private,IND299,5,17,IND,3.87E+13,"6210 GEARY BLVD, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.780327, -122.486336)",26,55,11,6,2,,"CA (37.780327, -122.486336)"
Live Oak School,Private,0,8,K-8,Independent / Private,IND267,5,13,IND,3.87E+13,"1555 MARIPOSA ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.763557, -122.399467)",29,"28,856",14,3,8,,"CA (37.763557, -122.399467)"
Saint James Catholic School,Private,0,8,K-8,Independent / Private,IND297,5,13,IND,3.87E+13,"325 FAIR OAKS ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.751137, -122.423592)",19,"28,859",2,4,5,,"CA (37.751137, -122.423592)"
Discovery Center School,Private,0,12,K-12,Independent / Private,IND236,5,17,IND,,"1442 FULTON ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.776836, -122.440605)",41,"29,492",15,5,11,,"CA (37.776836, -122.440605)"
Fei Tian Academy Of The Arts California,Private,0,12,K-12,Independent / Private,IND242,5,17,IND,3.87E+13,"1950 PAGE ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.770477, -122.453003)",9,"29,492",15,5,11,,"CA (37.770477, -122.453003)"
San Francisco Adventist,Private,0,8,K-8,Independent / Private,IND311,5,13,IND,3.87E+13,"66 GENEVA AVE, SAN FRANCISCO, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.721714, -122.451187)",24,"28,861",9,8,6,,"CA (37.721714, -122.451187)"
One Fifty Parker Ave School,Private,-2,-1,PK,Independent / Private,CDC116,3,4,CDC,380500487,"150 PARKER AVENUE, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.782818, -122.454094)",31,54,11,6,1,,"CA (37.782818, -122.454094)"
Economic Opportunity Council Sf - Omi Childcare,Private,-2,-1,PK,Independent / Private,CDC030,3,4,CDC,380504445,"306 RANDOLPH ST, SAN FRANCISCO, CA 94132",11,6075,SAN FRANCISCO,"CA
(37.714497, -122.465576)",24,64,9,8,6,,"CA (37.714497, -122.465576)"
Calvary Presbyterian Church - Calvary Nursery School,Private,-2,-1,PK,Independent / Private,CDC010,3,4,CDC,380500099,"2515 FILLMORE ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.792713, -122.435089)",27,"29,490",13,9,1,,"CA (37.792713, -122.435089)"
Alt School - Dogpatch 1,Private,-1,2,TK-2,Independent / Private,IND202,4,7,IND,3.87E+13,"2265 03RD ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.761177, -122.38813)",29,"28,856",10,3,8,,"CA (37.761177, -122.38813)"
Alvarado Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS002,5,10,PS,3.87E+13,"625 DOUGLASS ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.753681, -122.438194)",22,"28,862",2,4,5,,"CA (37.753681, -122.438194)"
"Mclaren, John Mclaren Early Education School",SFUSD,-2,5,PK-5,USD PreK/TK-5,PS076,3,10,PS,3.87E+13,"2055 SUNNYDALE AVE, San Francisco, CA 94134",10,6075,SAN FRANCISCO,"CA
(37.713131, -122.423187)",18,309,9,7,8,,"CA (37.713131, -122.423187)"
Cathedral School For Boys,Private,0,8,K-8,Independent / Private,IND224,5,13,IND,3.87E+13,"1275 SACRAMENTO ST, SAN FRANCISCO, CA 94108",3,6075,SAN FRANCISCO,"CA
(37.79229, -122.413414)",21,"28,857",5,1,10,,"CA (37.79229, -122.413414)"
Bright Horizons - Pacific Gas And Electric,Private,-2,4,4-Jan,Independent / Private,IND220,3,5,IND,384001513,"77 BEALE ST, SAN FRANCISCO, CA 94105",6,6075,SAN FRANCISCO,"CA
(37.791672, -122.395721)",6,"28,855",12,2,9,,"CA (37.791672, -122.395721)"
Sterne School,Private,5,12,12-May,Independent / Private,IND327,10,17,IND,,"2690 JACKSON ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.792057, -122.439354)",27,"29,490",13,6,1,,"CA (37.792057, -122.439354)"
Congregation Emanu-El Preschool,Private,-2,-1,PK,Independent / Private,CDC018,3,4,CDC,384000060,"2 LAKE ST, SAN FRANCISCO, CA 94118",2,6075,SAN FRANCISCO,"CA
(37.787338, -122.459793)",11,54,11,6,1,,"CA (37.787338, -122.459793)"
City Arts And Tech High School,SFUSD,9,12,12-Sep,USD Grades 9-12,PS019,14,17,PS,3.87E+13,"325 LA GRANDE AVE, San Francisco, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.718784, -122.424667)",18,309,9,7,6,,"CA (37.718784, -122.424667)"
Saint Thomas More,Private,0,8,K-8,Independent / Private,IND307,5,13,IND,3.87E+13,"50 THOMAS MORE WAY, SAN FRANCISCO, CA 94132",7,6075,SAN FRANCISCO,"CA
(37.712299, -122.473389)",14,64,1,8,4,,"CA (37.712299, -122.473389)"
Independence High School,SFUSD,9,12,12-Sep,USD Grades 9-12,PS049,14,17,PS,3.87E+13,"1350 07TH AVE, San Francisco, CA 94122",5,6075,SAN FRANCISCO,"CA
(37.763226, -122.463585)",12,56,1,5,11,,"CA (37.763226, -122.463585)"
Cross Cultural Family Center - Richmond I And Ii,Private,-2,-1,PK,Independent / Private,CDC025,3,4,CDC,380505039,"750 31ST AVE, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.775101, -122.49028)",26,55,11,6,2,,"CA (37.775101, -122.49028)"
Angelinas School Day Care,Private,-2,-1,PK,Independent / Private,CDC005,3,4,CDC,,"4635 CABRILLO ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.77309, -122.5084)",26,55,11,6,2,,"CA (37.77309, -122.5084)"
